### 蜃景幻界新月岛 北征之章
# ZoneId: 1346

hideall "--Reset--"
hideall "--sync--"

0.0 "--Reset--" ActorControl { command: "4000000F" } window 0,100000 jump 0
177.3 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
177.9 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
178.2 "突进" Ability { id: "C20A", source: "舞动之剑" }
178.4 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
179.0 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
179.4 "攻击" Ability { id: "C65F", source: "剑舞者" }
179.4 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
180.0 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
180.6 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
181.2 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
181.8 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
182.4 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
182.4 "攻击" Ability { id: "C65F", source: "剑舞者" }
183.0 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
183.6 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
183.6 "--sync--" Ability { id: "C196", source: "剑舞者" }
184.2 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
184.8 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
185.4 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
186.0 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
186.6 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
187.2 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
187.8 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
188.4 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
188.8 "风旋剑出鞘" Ability { id: "C1EE", source: "剑舞者" }
188.9 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
189.5 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
190.1 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
190.7 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
191.3 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
191.9 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
191.9 "攻击" Ability { id: "C65F", source: "剑舞者" }
192.5 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
193.1 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
193.7 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
194.3 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
194.9 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
195.0 "攻击" Ability { id: "C65F", source: "剑舞者" }
195.4 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
196.0 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
196.6 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
197.2 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
197.8 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
198.0 "攻击" Ability { id: "C65F", source: "剑舞者" }
198.3 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
198.9 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
199.5 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
200.1 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
200.7 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
201.1 "攻击" Ability { id: "C65F", source: "剑舞者" }
201.2 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
201.8 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
202.4 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
203.0 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
203.6 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
204.2 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
204.8 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
205.1 "风旋剑" Ability { id: "C1EF", source: "剑舞者" }
205.3 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
205.9 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
206.1 "回转" Ability { id: "C1F3", source: "舞动之剑" }
206.1 "回转" Ability { id: "C1F4", source: "舞动之剑" }
206.1 "回转" Ability { id: "C1F2", source: "舞动之剑" }
206.4 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
207.0 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
207.0 "攻击" Ability { id: "C65F", source: "剑舞者" }
207.4 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
207.4 "--sync--" Ability { id: "C4FF", source: "舞动之剑" }
207.4 "--sync--" Ability { id: "C500", source: "舞动之剑" }
207.4 "--sync--" Ability { id: "C504", source: "舞动之剑" }
207.8 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
208.4 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
209.0 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
209.6 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
209.7 "回转" Ability { id: "C1F0", source: "舞动之剑" }
209.7 "回转" Ability { id: "C1F1", source: "舞动之剑" }
209.7 "回转" Ability { id: "C1F5", source: "舞动之剑" }
209.8 "--sync--" Ability { id: "C196", source: "剑舞者" }
210.0 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
210.6 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
211.2 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
211.8 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
212.4 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
213.0 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
213.6 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
214.2 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
214.8 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
215.4 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
216.0 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
216.3 "剑舞" Ability { id: "C203", source: "剑舞者" }
216.5 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
216.9 "剑舞" Ability { id: "C204", source: "剑舞者" }
217.0 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
217.6 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
217.6 "剑舞" #Ability { id: "C205", source: "剑舞者" }
217.6 "剑舞" #Ability { id: "C205", source: "剑舞者" }
218.0 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
218.3 "剑舞" #Ability { id: "C206", source: "剑舞者" }
218.3 "剑舞" #Ability { id: "C206", source: "剑舞者" }
218.5 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
219.1 "剑舞" #Ability { id: "C207", source: "剑舞者" }
219.1 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
219.1 "剑舞" #Ability { id: "C207", source: "剑舞者" }
219.7 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
220.3 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
220.9 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
221.5 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
222.1 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
222.1 "攻击" Ability { id: "C65F", source: "剑舞者" }
222.5 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
223.1 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
223.7 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
224.3 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
224.9 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
225.1 "攻击" Ability { id: "C65F", source: "剑舞者" }
225.4 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
225.5 "剑舞" #Ability { id: "C208", source: "剑舞者" }
225.9 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
226.5 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
226.9 "剑舞" #Ability { id: "C208", source: "剑舞者" }
226.9 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
227.5 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
227.8 "攻击" Ability { id: "C65F", source: "剑舞者" }
228.0 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
228.2 "剑舞" #Ability { id: "C208", source: "剑舞者" }
228.5 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
229.1 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
229.7 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
229.7 "剑舞" #Ability { id: "C208", source: "剑舞者" }
230.3 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
230.7 "攻击" Ability { id: "C65F", source: "剑舞者" }
230.7 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
231.3 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
231.9 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
232.5 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
233.1 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
233.7 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
234.3 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
234.9 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
235.5 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
236.1 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
236.7 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
237.3 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
237.9 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
238.5 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
238.8 "剑技风暴" Ability { id: "C20B", source: "剑舞者" }
238.8 "攻击" Ability { id: "C65F", source: "剑舞者" }
238.9 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
239.5 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
239.6 "剑技风暴" Ability { id: "C216", source: "剑舞者" }
240.0 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
240.6 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
241.2 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
241.8 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
242.4 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
243.0 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
243.6 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
243.9 "攻击" Ability { id: "C65F", source: "剑舞者" }
244.1 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
244.7 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
245.3 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
245.9 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
245.9 "--sync--" Ability { id: "C196", source: "剑舞者" }
246.5 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
247.1 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
247.7 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
248.3 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
248.9 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
249.5 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
250.1 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
250.1 "投剑" Ability { id: "C1D3", source: "剑舞者" }
250.7 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
251.1 "突进" Ability { id: "C560", source: "舞动之剑" }
251.1 "突进" Ability { id: "C1D5", source: "舞动之剑" }
251.2 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
251.8 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
252.4 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
253.0 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
253.2 "投剑" Ability { id: "C1D4", source: "剑舞者" }
253.5 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
254.1 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
254.1 "突进" Ability { id: "C560", source: "舞动之剑" }
254.1 "突进" Ability { id: "C1D5", source: "舞动之剑" }
254.7 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
255.3 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
255.9 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
256.2 "攻击" Ability { id: "C65F", source: "剑舞者" }
256.4 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
257.0 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
257.6 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
258.2 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
258.8 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
258.8 "回旋" Ability { id: "C1DB", source: "舞动之剑" }
258.8 "回旋" Ability { id: "C1E4", source: "舞动之剑" }
258.8 "突进" Ability { id: "C1D6", source: "舞动之剑" }
259.2 "攻击" Ability { id: "C65F", source: "剑舞者" }
259.2 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
259.8 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
260.4 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
261.0 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
261.6 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
262.2 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
262.2 "攻击" Ability { id: "C65F", source: "剑舞者" }
262.8 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
263.0 "回旋" Ability { id: "C1DB", source: "舞动之剑" }
263.0 "回旋" Ability { id: "C1E4", source: "舞动之剑" }
263.0 "突进" Ability { id: "C1D6", source: "舞动之剑" }
263.3 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
263.9 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
264.5 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
265.1 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
265.2 "攻击" Ability { id: "C65F", source: "剑舞者" }
265.5 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
265.6 "--sync--" Ability { id: "C20C", source: "剑舞者" }
266.0 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
266.6 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
267.0 "回旋" Ability { id: "C1DB", source: "舞动之剑" }
267.0 "突进" Ability { id: "C1D6", source: "舞动之剑" }
267.0 "回旋" Ability { id: "C1DB", source: "舞动之剑" }
267.0 "突进" Ability { id: "C1D6", source: "舞动之剑" }
267.0 "回旋" Ability { id: "C1E4", source: "舞动之剑" }
267.1 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
267.7 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
268.3 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
268.9 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
269.5 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
270.1 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
270.7 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
271.3 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
271.3 "突进" #Ability { id: "C1D6", source: "舞动之剑" }
271.3 "回旋" Ability { id: "C1DB", source: "舞动之剑" }
271.3 "突进" #Ability { id: "C1D6", source: "舞动之剑" }
271.3 "回旋" Ability { id: "C1DB", source: "舞动之剑" }
271.3 "回旋" Ability { id: "C1E4", source: "舞动之剑" }
271.7 "秘法剑" Ability { id: "C1E9", source: "剑舞者" }
271.7 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
272.3 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
272.9 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
273.1 "突进" Ability { id: "C20A", source: "舞动之剑" }
273.1 "秘法剑" Ability { id: "C1ED", source: "剑舞者" }
273.4 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
274.0 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
274.6 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
274.7 "--sync--" Ability { id: "C196", source: "剑舞者" }
275.1 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
275.3 "突进" Ability { id: "C1D6", source: "舞动之剑" }
275.3 "回旋" Ability { id: "C1DB", source: "舞动之剑" }
275.3 "回旋" #Ability { id: "C1E4", source: "舞动之剑" }
275.3 "回旋" #Ability { id: "C1E4", source: "舞动之剑" }
275.5 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
276.1 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
276.7 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
277.3 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
277.9 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
278.5 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
279.1 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
279.5 "突进" Ability { id: "C1D6", source: "舞动之剑" }
279.6 "回旋" Ability { id: "C1DB", source: "舞动之剑" }
279.6 "回旋" Ability { id: "C1E4", source: "舞动之剑" }
279.6 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
279.6 "回旋" Ability { id: "C1E1", source: "舞动之剑" }
279.6 "回旋" Ability { id: "C38F", source: "舞动之剑" }
280.0 "秘法剑" Ability { id: "C1EC", source: "剑舞者" }
280.0 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
280.6 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
281.2 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
281.4 "秘法剑" Ability { id: "C1ED", source: "剑舞者" }
281.7 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
282.3 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
282.9 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
283.0 "--sync--" Ability { id: "C196", source: "剑舞者" }
283.4 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
283.4 "突进" Ability { id: "C1D6", source: "舞动之剑" }
283.5 "回旋" Ability { id: "C1DB", source: "舞动之剑" }
283.5 "回旋" Ability { id: "C1E4", source: "舞动之剑" }
283.8 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
284.4 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
285.0 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
285.6 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
286.2 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
286.8 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
287.4 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
287.8 "回旋" Ability { id: "C1DB", source: "舞动之剑" }
287.8 "回旋" Ability { id: "C1E4", source: "舞动之剑" }
287.8 "突进" Ability { id: "C1D6", source: "舞动之剑" }
287.8 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
288.1 "秘法剑" Ability { id: "C1EA", source: "剑舞者" }
288.3 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
288.9 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
289.3 "突进" Ability { id: "C20A", source: "舞动之剑" }
289.4 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
289.4 "秘法剑" Ability { id: "C1ED", source: "剑舞者" }
289.8 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
290.4 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
290.8 "攻击" Ability { id: "C65F", source: "剑舞者" }
290.8 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
291.4 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
292.0 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
292.6 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
293.2 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
293.8 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
293.8 "攻击" Ability { id: "C65F", source: "剑舞者" }
294.4 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
295.0 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
295.6 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
296.2 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
296.8 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
297.4 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
298.0 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
298.6 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
299.2 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
299.8 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
300.4 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
301.0 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
301.1 "剑技风暴" Ability { id: "C20B", source: "剑舞者" }
301.4 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
302.0 "剑技风暴" Ability { id: "C216", source: "剑舞者" }
302.0 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
302.6 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
303.2 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
303.8 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
304.1 "攻击" Ability { id: "C65F", source: "剑舞者" }
304.3 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
304.9 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
305.5 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
306.1 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
306.7 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
307.3 "攻击" Ability { id: "C65F", source: "剑舞者" }
307.3 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
307.9 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
308.3 "--sync--" Ability { id: "C196", source: "剑舞者" }
308.3 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
308.9 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
309.5 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
310.1 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
310.7 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
311.3 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
311.9 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
312.5 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
313.1 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
313.4 "风旋剑出鞘" Ability { id: "C1EE", source: "剑舞者" }
313.6 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
314.2 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
314.8 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
315.4 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
316.0 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
316.6 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
317.2 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
317.5 "攻击" Ability { id: "C65F", source: "剑舞者" }
317.7 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
